epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,11236.9,1.37271,1.92289,1.64376,0.49496,0.64788,0.58522,0.29432,1.56084,2.92736,1.98627,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,11360.6,1.34401,1.90223,1.63112,0.52997,0.61759,0.59636,0.2976,1.54116,3.0467,1.98701,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,11483.7,1.35315,1.90678,1.63422,0.49951,0.65202,0.57374,0.28703,1.57256,2.94285,2.00561,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,11606.8,1.34589,1.84025,1.61626,0.50439,0.62823,0.57346,0.28808,1.58241,2.79859,2.0174,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,11730.6,1.3548,1.88208,1.63137,0.50829,0.6122,0.57735,0.28606,1.54673,2.85505,2.01477,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,11854.4,1.32973,1.82374,1.59339,0.54244,0.61332,0.57697,0.29156,1.55286,2.87014,2.04557,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,11977.7,1.32495,1.80775,1.60164,0.51943,0.59776,0.55564,0.27429,1.60262,2.75925,2.0024,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,12101.1,1.33243,1.79537,1.61139,0.51541,0.63928,0.5847,0.29204,1.55443,2.84571,1.96111,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,12224.7,1.33773,1.79788,1.61142,0.56313,0.60097,0.60096,0.29932,1.53126,2.72475,1.93985,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,12348.4,1.3292,1.79226,1.59668,0.52491,0.63118,0.61021,0.30729,1.54703,2.67453,1.95882,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
