epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,238.811,1.23026,1.26177,1.49322,0.55516,0.62475,0.61115,0.29777,1.6783,1.68548,1.94288,0.0005941,0.0005941,0.0005941
43,244.32,1.2325,1.26143,1.49027,0.62515,0.58841,0.62689,0.30969,1.70885,1.62762,1.97542,0.0005842,0.0005842,0.0005842
44,249.824,1.21238,1.24616,1.48219,0.59892,0.61328,0.6544,0.32719,1.67736,1.58472,1.93236,0.0005743,0.0005743,0.0005743
45,255.325,1.22782,1.24944,1.49498,0.57821,0.62309,0.63217,0.32006,1.61233,1.51453,1.88181,0.0005644,0.0005644,0.0005644
46,260.796,1.21595,1.24962,1.48898,0.64181,0.61988,0.6491,0.33027,1.64505,1.55175,1.91707,0.0005545,0.0005545,0.0005545
47,266.303,1.21141,1.24104,1.4707,0.5803,0.65085,0.65694,0.32495,1.63934,1.50628,1.89851,0.0005446,0.0005446,0.0005446
48,271.892,1.20121,1.2182,1.46759,0.54072,0.64483,0.60171,0.27781,1.71304,1.5609,1.98783,0.0005347,0.0005347,0.0005347
49,277.376,1.2012,1.21147,1.44484,0.64849,0.61231,0.65975,0.32308,1.644,1.53314,1.90745,0.0005248,0.0005248,0.0005248
50,282.879,1.21522,1.2006,1.47385,0.58022,0.63203,0.61544,0.30426,1.69119,1.53955,2.00441,0.0005149,0.0005149,0.0005149
51,288.358,1.19096,1.2158,1.47082,0.59449,0.6174,0.63924,0.31459,1.6447,1.53083,1.9166,0.000505,0.000505,0.000505
52,293.857,1.17075,1.19634,1.45449,0.60837,0.6518,0.66625,0.33428,1.61839,1.46219,1.89897,0.0004951,0.0004951,0.0004951
53,299.363,1.17414,1.18713,1.44885,0.58434,0.6167,0.62087,0.30889,1.64821,1.57166,1.8968,0.0004852,0.0004852,0.0004852
54,305.015,1.16746,1.16684,1.45037,0.71514,0.60398,0.69196,0.35574,1.60705,1.43929,1.92003,0.0004753,0.0004753,0.0004753
55,310.694,1.17226,1.15884,1.44509,0.63704,0.64637,0.6833,0.34485,1.59532,1.50116,1.85581,0.0004654,0.0004654,0.0004654
56,316.358,1.17308,1.19011,1.46125,0.6189,0.61137,0.64999,0.32275,1.72804,1.48344,1.94222,0.0004555,0.0004555,0.0004555
57,321.861,1.15164,1.142,1.43649,0.64523,0.64717,0.68515,0.34575,1.61795,1.42045,1.89606,0.0004456,0.0004456,0.0004456
58,327.33,1.12078,1.11938,1.41771,0.62196,0.65398,0.65817,0.33393,1.65011,1.47259,1.90583,0.0004357,0.0004357,0.0004357
59,332.852,1.14173,1.11898,1.43442,0.60633,0.64184,0.65711,0.3354,1.62887,1.44503,1.90537,0.0004258,0.0004258,0.0004258
60,338.333,1.14163,1.11369,1.43682,0.62967,0.64735,0.6688,0.34571,1.62961,1.44722,1.91723,0.0004159,0.0004159,0.0004159
61,343.856,1.1434,1.11926,1.42993,0.60461,0.67052,0.66928,0.33723,1.6383,1.45908,1.88219,0.000406,0.000406,0.000406
62,349.413,1.13495,1.1264,1.42433,0.60464,0.65734,0.67528,0.34815,1.5969,1.45502,1.86615,0.0003961,0.0003961,0.0003961
63,354.91,1.14032,1.09027,1.42413,0.62101,0.64137,0.65044,0.33093,1.65998,1.47713,1.92412,0.0003862,0.0003862,0.0003862
64,360.412,1.12259,1.10748,1.42723,0.65737,0.64172,0.6878,0.35078,1.6375,1.48575,1.94197,0.0003763,0.0003763,0.0003763
65,365.881,1.12135,1.10309,1.41405,0.71598,0.62394,0.68337,0.34852,1.64064,1.46198,1.91016,0.0003664,0.0003664,0.0003664
66,371.399,1.10597,1.08029,1.40866,0.68435,0.64696,0.67823,0.34721,1.63923,1.4176,1.91703,0.0003565,0.0003565,0.0003565
67,376.869,1.11682,1.10742,1.41451,0.60928,0.65307,0.64522,0.32432,1.68757,1.50989,1.94521,0.0003466,0.0003466,0.0003466
68,382.44,1.12053,1.07211,1.40425,0.66567,0.61843,0.68296,0.34705,1.65481,1.45385,1.93114,0.0003367,0.0003367,0.0003367
69,387.991,1.1075,1.07326,1.40721,0.64547,0.63049,0.66149,0.34118,1.64832,1.49373,1.92158,0.0003268,0.0003268,0.0003268
70,393.489,1.10703,1.0842,1.40947,0.60908,0.64261,0.64413,0.33259,1.67503,1.46086,1.9707,0.0003169,0.0003169,0.0003169
71,398.918,1.08429,1.0658,1.40144,0.66843,0.60629,0.66842,0.34302,1.67256,1.46587,1.91814,0.000307,0.000307,0.000307
72,404.417,1.09209,1.06,1.39801,0.64785,0.65648,0.67769,0.34573,1.67194,1.42724,1.92292,0.0002971,0.0002971,0.0002971
73,409.955,1.08957,1.03308,1.38758,0.63828,0.65751,0.67806,0.34405,1.64843,1.44781,1.90312,0.0002872,0.0002872,0.0002872
74,415.445,1.09626,1.05767,1.39778,0.64515,0.61328,0.6376,0.31811,1.6893,1.50463,1.95302,0.0002773,0.0002773,0.0002773
