epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,537.267,1.43972,1.32231,1.35538,0.62722,0.64969,0.68946,0.35643,1.57231,1.47741,1.45343,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,552.232,1.44782,1.32347,1.35074,0.67095,0.6131,0.67066,0.34513,1.59868,1.53338,1.46899,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,567.813,1.42348,1.302,1.34271,0.64173,0.60754,0.65621,0.33684,1.61956,1.56791,1.48192,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,583.845,1.44067,1.3241,1.34874,0.65607,0.59659,0.66877,0.34959,1.60345,1.49807,1.47065,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,600.012,1.42827,1.30299,1.3331,0.67023,0.60668,0.68189,0.34776,1.60597,1.52081,1.48065,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,616.163,1.42477,1.28562,1.3335,0.62435,0.60247,0.65756,0.32426,1.65697,1.59756,1.48358,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,632.316,1.41809,1.2888,1.32941,0.6981,0.59434,0.67731,0.35,1.62978,1.50714,1.4611,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,648.548,1.37852,1.27421,1.31437,0.62794,0.62352,0.6923,0.35961,1.59794,1.48379,1.4606,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,664.968,1.4177,1.2811,1.32229,0.65109,0.62856,0.66689,0.34381,1.63213,1.54263,1.4908,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,681.257,1.40823,1.26712,1.31312,0.63975,0.61306,0.66223,0.34606,1.61565,1.49235,1.44876,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,697.098,1.39484,1.25919,1.32084,0.63455,0.61978,0.68227,0.35458,1.59905,1.49874,1.4545,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,713.659,1.40858,1.26153,1.32032,0.65363,0.657,0.69806,0.35872,1.61261,1.46189,1.46971,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,729.023,1.38882,1.25975,1.3221,0.61944,0.65849,0.68929,0.34869,1.62357,1.50499,1.46744,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
