epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,755.041,2.30307,5.64174,2.52612,0.07883,0.09394,0.05013,0.01804,2.7214,6.76852,2.88869,0.000999206,0.000333069,0.000999206,0.000333069,0.000999206,0.000333069,0.000999206,0.000333069
2,1458.8,2.03606,3.85774,2.25356,0.15525,0.2353,0.12919,0.04846,2.31702,4.75081,2.67517,0.00197941,0.000659805,0.00197941,0.000659805,0.00197941,0.000659805,0.00197941,0.000659805
3,2156.5,1.91337,3.17306,2.15286,0.24797,0.35498,0.23609,0.09672,2.20359,3.86912,2.57802,0.00293982,0.000979941,0.00293982,0.000979941,0.00293982,0.000979941,0.00293982,0.000979941
4,2854.4,1.80035,2.73693,2.05078,0.31394,0.42969,0.31357,0.13364,2.06256,3.7153,2.50719,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
