epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,370.217,2.08649,3.93646,2.18685,0.0059,0.48538,0.02948,0.01078,2.42826,4.91695,2.71435,0.000998413,0.000332804,0.000998413,0.000332804,0.000998413,0.000332804,0.000998413,0.000332804
2,695.244,1.86145,3.79226,2.03004,0.90085,0.02456,0.06857,0.02676,2.10305,4.54895,2.46805,0.00197863,0.000659543,0.00197863,0.000659543,0.00197863,0.000659543,0.00197863,0.000659543
3,1015.13,1.73452,3.61287,1.9441,0.22217,0.11998,0.12086,0.04576,1.94576,4.44734,2.39023,0.00293904,0.000979681,0.00293904,0.000979681,0.00293904,0.000979681,0.00293904,0.000979681
4,1334.14,1.7112,3.40783,1.92343,0.21626,0.26912,0.179,0.08232,1.89344,4.34336,2.30617,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,1652.73,1.67129,3.17101,1.90084,0.6367,0.22794,0.25355,0.11713,1.80651,4.43479,2.23803,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,1971.23,1.66835,2.92778,1.88605,0.26074,0.45019,0.33171,0.15289,1.78994,4.56919,2.16594,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,2288.69,1.6403,2.77535,1.85998,0.28379,0.52424,0.36091,0.16829,1.77196,6.13798,2.1857,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,2603.18,1.59518,2.6377,1.83027,0.27031,0.59281,0.37516,0.17518,1.73622,6.60371,2.16222,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,2922.79,1.57843,2.57395,1.81249,0.29414,0.55694,0.37616,0.17907,1.67178,5.95458,2.16207,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,3241.65,1.54041,2.48932,1.79451,0.33634,0.56764,0.39561,0.19118,1.64119,6.00751,2.10363,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,3560.84,1.52856,2.40743,1.76928,0.30947,0.5972,0.42385,0.19848,1.68734,5.69083,2.13476,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,3875.5,1.51847,2.40771,1.76843,0.40692,0.52992,0.45099,0.21866,1.61005,5.33462,2.06553,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,4193.68,1.51712,2.36345,1.76326,0.37874,0.61126,0.4634,0.22308,1.62379,5.63984,2.1118,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,4512.55,1.47987,2.25247,1.73282,0.3467,0.60326,0.46052,0.2173,1.65343,4.76453,2.08654,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,4829.26,1.47269,2.25587,1.72181,0.43403,0.56789,0.50314,0.24192,1.63013,4.28469,2.04292,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,5153.74,1.46397,2.1863,1.70357,0.39937,0.63411,0.49151,0.23304,1.66394,4.28031,2.06965,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,5474.17,1.46472,2.20688,1.72308,0.43037,0.61659,0.49639,0.23723,1.62805,4.61673,2.05126,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,5800.94,1.44775,2.16523,1.69869,0.43795,0.65812,0.52599,0.25472,1.62632,3.95723,2.04435,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
